10921,33Across,10921,"{Advertising Platforms,Content Discovery,Internet,Social Media}"
11223,TapJoy,11223,"{Advertising,Android,Apps,Brand Marketing,iOS,Marketing Automation,Mobile,Mobile Apps}"
11224,Taptica,11224,"{Advertising,Advertising Platforms,Data Integration,E-Commerce,Machine Learning,Marketing,Mobile,Personal Branding}"
11225,Teads,11225,"{Advertising,Internet,Mobile,Video}"
11226,Tealium,11226,"{Analytics,Enterprise Software,Internet,Marketing}"
11227,Telerik,11227,"{Cloud Data Services,Developer Tools,Mobile,Software}"
11228,Tencent,11228,"{Advertising,Internet,Mobile,Online Games,Social Media Marketing}"
11230,The ADEX,11230,"{Advertising,Internet,Real Time}"
11234,Tout,11234,"{News,Publishing,Video}"
11236,Tradedoubler,11236,{Advertising}
11237,Tremor Video,11237,"{Advertising,Digital Media,Marketing}"
11239,TRUSTe,11239,"{Enterprise Software,Mobile,Privacy}"
11242,Tumblr,11242,"{Blogging Platforms,Collaboration,Social Media,Social Network}"
11243,Turn,11243,"{Advertising,Enterprise Software,Marketing}"
11244,Twitter,11244,"{Blogging Platforms,Messaging,SMS,Social Media}"
11245,Typekit,11245,"{Information Technology,Subscription Service,Web Design}"
11246,Undertone,11246,"{Advertising,Digital Media,Mobile,Video}"
11249,V12 Data,11249,{Advertising}
11251,Valueclick,11251,"{Advertising,Affiliate Marketing,Brand Marketing,Digital Media,Marketing,Web Hosting}"
11252,Ve Interactive,11252,"{Digital Marketing,E-Commerce}"
11253,Vector Capital,11253,"{Financial Services}"
11254,Verizon,11254,"{Communications Infrastructure,Information Technology,Mobile,Telecommunications}"
11255,Vessel,11255,"{A/B Testing,Analytics,Information Technology,Mobile Apps}"
11258,Vimeo,11258,"{File Sharing,Video,Video Streaming}"
11260,Vizu,11260,"{Advertising,Internet,Service Industry}"
11262,Weather Underground,11262,"{Digital Media,Internet,News}"
11264,Webcollage,11264,"{Analytics,Content Syndication,E-Commerce Platforms,Publishing,SaaS}"
11265,WebMD,11265,"{Health Care,Information Services,Internet,Software}"
11266,Webtrekk,11266,"{Advertising,Analytics,Internet}"
11267,WebTrends,11267,"{Digital Marketing,Enterprise Software,SEO}"
11268,Weibo,11268,"{Blogging Platforms,Communities,Computer,Social Media,Social Network,Software}"
11270,Wikimedia Foundation,11270,"{Developer Tools,Non Profit,Open Source,Semantic Search}"
11271,Wingify,11271,"{A/B Testing,Analytics,Information Technology}"
11273,Wordpress,11273,"{Internet,Web Design,Web Development}"
11274,WPP,11274,"{Advertising,Brand Marketing,Digital Media,Public Relations}"
11276,Xaxis,11276,{Advertising}
11279,Yahoo,11279,"{Advertising,Email,Finance,Financial Services,Search Engine,SEO}"
11280,Yandex,11280,"{Analytics,Big Data,Developer Tools,E-Commerce,Email,Information Technology,Mobile,Search Engine}"
11281,Yieldlab,11281,"{Advertising,Auctions}"
11284,YouTube,11284,"{Internet,Music,Video}"
11288,Pushwoosh,11288,"{Analytics,Marketing Automation,SaaS}"
11289,Vungle,11289,"{Developer Tools,Mobile,Mobile Advertising,Video}"
11290,Research Now,11290,"{B2B,Market Research,Mobile,Search Engine,Social Media}"
11291,Directly,11291,"{Artificial Intelligence,Customer Service,Machine Learning,Marketplace}"
11294,Tripadvisor,11294,"{E-Commerce,Restaurants,Travel}"
11295,Igaworks,11295,"{Advertising,Marketing,Mobile Apps}"
11296,Clicktale,11296,"{Analytics,Business Intelligence,E-Commerce,SaaS}"
11301,Eyeview,11301,"{Advertising,Brand Marketing,Video,Video Advertising}"
11302,Steelhouse,11302,"{Advertising,Analytics,Real Time}"
11303,Targus,11303,"{Computer,Consumer Electronics,Mobile}"
11305,Maxymiser,11305,"{Analytics,Enterprise Software,Personalization}"
11308,Flurry,11308,"{Advertising,Analytics,Mobile,Mobile Apps}"
11309,Firebase,11309,"{Cloud Infrastructure,Developer APIs,Developer Tools,Enterprise Software,Mobile Apps,Real Time}"
11310,Outfit7,11310,"{3D Technology,Android,Apps,iOS,Mobile}"
11311,Sojern,11311,"{Advertising Platforms,Digital Marketing,Marketing,Travel}"
11312,Admaxim,11312,{Advertising}
11313,Admob,11313,"{Ad Network,Advertising,Apps,Marketing,Mobile}"
11314,Zoopla,11314,"{Commercial Real Estate,Property Management,Real Estate}"
11317,Skimlinks,11317,"{Advertising,Content,Internet,Marketing}"
11320,Foursquare,11320,"{Advertising Platforms,Apps,Big Data,Developer APIs,Developer Tools,Guides,Location Based Services,Mobile,Mobile Advertising,Private Social Networking}"
11321,Fastly,11321,"{Content Delivery Network,Enterprise Software,Internet,Security}"
11323,Jumptap,11323,"{Ad Network,Advertising,Advertising Platforms,Mobile}"
11324,Pagefair,11324,"{Advertising,Digital Media,Software}"
11325,Sailthru,11325,"{Digital Marketing,E-Commerce,Email Marketing,Enterprise Software,Marketing Automation,Mobile,Predictive Analytics,Publishing}"
11328,Gumgum,11328,"{Advertising,Advertising Platforms,Analytics,Artificial Intelligence,Brand Marketing,Computer Vision,Digital Media,Image Recognition,Sports}"
11329,Applovin,11329,"{Advertising,Mobile,Mobile Apps}"
11331,Vizury,11331,"{Ad Retargeting,Ad Targeting,Advertising,Banking,E-Commerce,Insurance}"
11332,Netdna,11332,"{Content Delivery Network,Web Hosting}"
11333,Nativex,11333,"{Advertising Platforms,Analytics,Mobile,Mobile Advertising}"
11334,Marin Software,11334,"{Advertising,Advertising Platforms,Internet,Social Media Marketing,Software}"
11335,Demandbase,11335,"{Advertising,Analytics,Marketing,SaaS}"
11336,Nexage,11336,"{Advertising,Advertising Platforms,Mobile,Mobile Advertising}"
11340,Apptimize,11340,"{A/B Testing,Analytics,Enterprise Software,Mobile}"
11341,Admarvel,11341,"{Ad Network,Advertising,Mobile,Mobile Advertising}"
11343,Yieldbot,11343,"{Advertising,Advertising Platforms,Analytics,Publishing,Real Time}"
11344,Kochava,11344,"{Analytics,App Marketing,Cloud Data Services,Mobile,Mobile Advertising}"
11345,Rambler,11345,"{Internet,Navigation,News,Social Media}"
11346,Beeswax,11346,{Advertising}
11347,Admeta,11347,"{Advertising,Internet,Real Time}"
11349,Adriver,11349,{Advertising}
11352,Chartboost,11352,"{Advertising,Apps,Gaming,iOS}"
11353,Upsight,11353,"{Analytics,Big Data,Business Intelligence,Data Mining,Marketing Automation,Mobile}"
11355,Vimov,11355,"{Android,iOS,Mobile,Software}"
11356,Forensiq,11356,"{Advertising,Digital Media,Social Media}"
11357,Pixalate,11357,"{Advertising,Analytics,Big Data,Business Intelligence,Enterprise Software,Fraud Detection,SaaS,Security}"
11358,Richrelevance,11358,"{E-Commerce,Internet,Mobile,Retail}"
11360,At Internet,11360,"{Ad Server,Analytics,Internet,Mobile Apps,Reputation,Software}"
11361,Opt,11361,"{Advertising Platforms,Digital Marketing,Marketing}"
11362,Smaato,11362,"{Advertising,Advertising Platforms,Mobile,Publishing}"
11363,Movableink,11363,"{Content Marketing,Email Marketing,Personalization,Real Time,SaaS}"
11364,Braze,11364,"{Analytics,CRM,Marketing,Marketing Automation,Mobile,SaaS,Software}"
11365,Weborama,11365,"{Advertising,Data Center,Information Technology,Internet}"
11366,Apsalar,11366,"{Advertising,Analytics,Apps,Data Integration,iOS,Mobile,Software}"
11367,Umeng,11367,"{Analytics,Mobile,Mobile Apps}"
11368,Gfk,11368,"{Consulting,Fashion,Financial Services,Market Research,Retail,Tourism,Travel}"
11369,Beetailer,11369,{Software}
11371,Shopzilla,11371,"{Advertising,Retail,Shopping}"
11373,Loopme,11373,"{Advertising Platforms,Artificial Intelligence,Big Data,Machine Learning,Mobile,Mobile Advertising,Video}"
11374,Mologiq,11374,"{Mobile Advertising}"
11376,Mailchimp,11376,"{Analytics,E-Commerce,Email,Email Marketing,Marketing,Software}"
11378,Eq Works,11378,"{Advertising Platforms,Software}"
11379,Appsflyer,11379,"{Advertising,Analytics,Android,Apps,iOS,Marketing,Mobile}"
11380,Fiksu,11380,"{Apps,Mobile,Mobile Advertising}"
11381,King,11381,"{Android,Digital Entertainment,Mobile,Software}"
11382,Aerserv,11382,"{Advertising,Mobile}"
11383,Appodeal,11383,"{Ad Network,Advertising,Android,Apps,Mobile,Mobile Advertising}"
11389,Crashlytics,11389,"{Android,iOS,Mobile}"
11390,Zynga,11390,"{Gaming,Mobile,PC Games}"
11393,Effective Measure,11393,"{Advertising,Classifieds,Social Media}"
11394,Cedexis,11394,"{Cloud Computing,Content Delivery Network,Enterprise Software,Internet}"
11396,Trueffect,11396,"{Advertising,Internet,Marketing}"
11397,Ethnio,11397,"{Facebook,Market Research,Twitter}"
11398,Mythings,11398,"{Accounting,Advertising,Retail}"
11402,Xiaomi,11402,"{Consumer Electronics,Internet,Mobile}"
11404,Leanplum,11404,"{A/B Testing,Analytics,App Marketing,Apps,Artificial Intelligence,CRM,Digital Marketing,E-Commerce,E-Commerce Platforms,Email,Email Marketing,Enterprise Software,Intelligent Systems,Machine Learning,Marketing,Marketing Automation,Messaging,Mobile,Mobile Apps,Personalization,Predictive Analytics,SMS}"
11405,Nxt,11405,"{Financial Services}"
11407,Datonics,11407,"{Advertising,Analytics,Publishing}"
11408,Adjust,11408,"{Flash Storage,Public Relations}"
11410,Vk,11410,"{Communities,Mobile Apps,Social Media,Social Network}"
11411,Heyzap,11411,"{Ad Network,Advertising,Machine Learning,Mobile,Mobile Advertising}"
11413,Livefyre,11413,"{Brand Marketing,Content,Enterprise Software,Real Time}"
11415,Branch,11415,"{Internet,Messaging,Social}"
11416,Superawesome,11416,"{Digital Marketing,Digital Media,Social Media Marketing}"
11417,Mediaforge,11417,"{Ad Retargeting,Advertising}"
11418,Adblade,11418,"{Ad Targeting,Advertising,SEO}"
11419,Bugsnag,11419,"{B2B,SaaS,Software}"
11420,Inmobi,11420,"{Advertising,Advertising Platforms,Marketing,Mobile}"
11422,Springserve,11422,"{Advertising,Marketing}"
11423,Myspace,11423,"{Analytics,Music,Social Media,Social Network,Web Hosting}"
11424,Trafficjunky,11424,"{Ad Network,Advertising,Advertising Platforms,Marketing}"
11425,Sumo Logic,11425,"{Analytics,Enterprise Software,SaaS}"
11426,Amplitude,11426,"{Analytics,Big Data,Mobile,Product Management,SaaS}"
11428,Playhaven,11428,"{Advertising,Developer Platform,Mobile}"
11429,Adcolony,11429,"{Advertising,Android,Apps,iOS,Mobile,Video,Virtual Currency}"
11430,Hyprmx,11430,{Advertising}
11431,Komoona,11431,"{Advertising,Information Technology,Internet,Machine Learning,Mobile,Software}"
11432,Mixpanel,11432,"{Analytics,Mobile,SaaS,Web Browsers}"
11435,Revmob,11435,"{Ad Network,Advertising,App Marketing,Apps,Mobile,Mobile Advertising,Mobile Apps}"
11436,Zedo,11436,"{Advertising,Publishing}"
11437,Tumri,11437,"{Advertising,Advertising Platforms,Marketing,Messaging}"
11438,Disney,11438,"{Amusement Park and Arcade,Animation,Broadcasting,Media and Entertainment,Video}"
11439,Viglink,11439,"{Advertising,Apps,Content,Publishing,Social Network}"
11441,Localytics,11441,"{Analytics,Computer,Mobile,Software}"
11443,Ironsource,11443,"{App Discovery,App Marketing,Apps,Desktop Apps,Mobile Advertising,Mobile Apps,Mobile Devices}"
11444,I-Mobile,11444,{Mobile}
11446,Statiq,11446,"{Analytics,Big Data,Location Based Services,Mobile,Mobile Advertising}"
11447,startapp,11447,"{Advertising Platforms,Big Data,Mobile}"
11448,Netseer,11448,"{Advertising,Content,Marketing}"
11449,Mopub,11449,"{Apps,Mobile Advertising,Publishing}"
11450,Liveperson,11450,"{Business Intelligence,Customer Service,Internet,Software}"
11454,Tune,11454,"{Advertising,Analytics,App Marketing,Data Visualization,Mobile,SaaS}"
11456,Mobvista,11456,"{Ad Network,Advertising,Mobile,Mobile Advertising}"
11458,Tns,11458,"{Payments,Telecommunications,Transaction Processing}"
11459,Taplytics,11459,"{Analytics,Computer,Real Time,Software}"
11461,crimtan,11461,"{Advertising,Consumer,Digital Media,Marketing}"
11462,Appnext,11462,"{Advertising,Android,App Discovery,App Marketing,Apps,iOS,Mobile Advertising,Mobile Apps}"
11463,Bounce Exchange,11463,"{Analytics,Enterprise Software,Marketing,SaaS}"
11464,Tapsense,11464,"{Ad Exchange,Advertising,Advertising Platforms,Android,iOS,Mobile}"
11466,Polar,11466,"{Apps,Market Research,Mobile}"
11470,Adsnative,11470,"{Ad Network,Ad Server,Advertising,E-Commerce,Mobile Advertising}"
11471,Rollout,11471,"{Analytics,Big Data,Nightlife}"
11472,Otherlevels,11472,"{Ad Retargeting,Analytics,CRM,Email,Mobile,SMS}"
11474,Mxdata,11474,{Travel}
11475,Parsely,11475,"{Analytics,B2B,Big Data,Digital Media,Predictive Analytics,Publishing}"
11477,Bidtheatre,11477,"{Ad Server,Advertising,Marketing,Software}"
11478,Impact Radius,11478,"{Advertising,Analytics,SaaS}"
11479,company,11479,"{Art,Internet,Social Network}"
11481,Adsense,11481,"{Search Engine}"
11483,Doubleclick,11483,{Advertising}
11484,Jquery Foundation,11484,"{Software,Web Development}"
11485,Youtube,11485,"{Internet,Music,Video}"
11486,Linkedin,11486,"{Professional Networking,Professional Services,Social Media,Social Recruiting}"
11489,Tapjoy,11489,"{Advertising,Android,Apps,Brand Marketing,iOS,Marketing Automation,Mobile,Mobile Apps}"
11491,Startapp,11491,"{Advertising Platforms,Big Data,Mobile}"
11492,Liverail,11492,"{Advertising,Enterprise Software,Video}"
11493,Netease,11493,"{Advertising,Gaming,PC Games,Wireless}"
11494,Truste,11494,"{Enterprise Software,Mobile,Privacy}"
11496,Webtrends,11496,"{Digital Marketing,Enterprise Software,SEO}"
11498,Openx,11498,"{Advertising,Advertising Platforms,Enterprise Software,Internet}"
11499,Addthis,11499,"{Big Data,File Sharing,Internet,Marketing,Mobile,Social Media}"
11500,Appnexus,11500,"{Ad Network,Advertising,Internet,Service Industry}"
11501,Iac,11501,"{Digital Media,E-Commerce,Internet}"
11502,Webmd,11502,"{Health Care,Information Services,Internet,Software}"
11503,Stackpath,11503,"{Cyber Security,Enterprise Software,Network Security}"
11504,Adchina,11504,"{Advertising,Advertising Platforms}"
11505,Adsame,11505,"{Ad Network,Advertising,Marketing}"
11507,Dataxu,11507,"{Ad Targeting,Advertising,Analytics,Big Data,Data Visualization,Digital Media}"
11511,Etracker,11511,"{Analytics,Information Services,Information Technology}"
11514,Exelate,11514,"{Ad Targeting,Advertising,Analytics,Big Data,Digital Marketing}"
11516,Govdelivery,11516,"{Dietary Supplements,Email,Enterprise Software,GovTech,SaaS}"
11517,Cbs Corporation,11517,"{Broadcasting,Publishing}"
11523,Exoclick,11523,"{Ad Network,Advertising,Publishing}"
11524,Brightroll,11524,"{Advertising,Advertising Platforms,Software}"
11526,Popads,11526,"{Ad Network,Advertising,Marketing}"
